[00:00.730 --> 00:02.290]  How is it going?
[04:02.470 --> 04:04.630]  I have 3 months to go home.
[04:08.070 --> 04:09.390]  I will find someone
[04:09.390 --> 04:10.250]  to increase the score.
[04:11.050 --> 04:12.510]  Show me what is possible.
[04:16.240 --> 04:17.000]  Show me what is minimum.
[04:18.300 --> 04:20.060]  I can't increase it.
[04:21.920 --> 04:23.620]  I remember it was 700.
[04:24.100 --> 04:25.340]  Now it might be 680.
[04:26.960 --> 04:29.500]  I want to see
[04:30.200 --> 04:30.880]  680.
[04:31.800 --> 04:33.920]  But I don't know
[04:33.920 --> 04:36.560]  how much it would be
[04:37.780 --> 04:39.440]  What I see is
[04:39.440 --> 04:40.840]  I will increase it by 20 points
[04:40.840 --> 04:42.700]  and my score will be correct.
[04:43.800 --> 04:44.820]  Then what will I do?
[04:45.300 --> 04:47.340]  I will give a loan for 6 months.
[04:47.540 --> 04:49.460]  And I will increase it by 20 points.
[04:50.760 --> 04:51.540]  Then the table
[04:51.540 --> 04:52.720]  will be empty.
[04:54.080 --> 04:55.360]  Otherwise, the rate
[04:55.360 --> 04:56.980]  will not be lower.
[04:56.980 --> 04:58.240]  The civil score
[04:58.980 --> 04:59.920]  will be 60.
[05:00.840 --> 05:01.180]  Yes.
[05:01.660 --> 05:07.080]  The repayment charge
[05:07.080 --> 05:08.340]  and the self-fund
[05:08.340 --> 05:09.180]  will be 300.
[05:11.380 --> 05:13.020]  The balance transfer
[05:13.020 --> 05:13.780]  will not change.
[05:14.380 --> 05:15.980]  No, no.
[05:16.120 --> 05:18.780]  I want 2 rates.
[05:19.320 --> 05:20.020]  I want 2 loans.
